*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-22444358,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,49.95,48,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22444358,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,49.95,48,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22444205,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,50.05,47,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22444205,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,50.05,47,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22444056,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,49.45,46,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22444056,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,49.45,46,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22443854,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51.5,45,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22443854,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51.5,45,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22443711,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51.5,44,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22443711,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51.5,44,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22443568,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,49.45,43,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22443568,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,49.45,43,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22443424,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51.5,42,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22443424,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51.5,42,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22443284,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,49.75,41,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22443284,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,49.75,41,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22443154,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,49.75,40,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22443154,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,49.75,40,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22443018,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,49.95,39,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22443018,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,49.95,39,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
